symbol,radius
H,120
He,140
Li,182
Be,153
B,192
C,170
N,155
O,152
F,147
Ne,154
Na,227
Mg,173
Al,184
Si,210
P,180
S,180
Cl,175
Ar,188
K,275
Ca,231
Sc,211
Ti,215
V,205
Cr,200
Mn,197
Fe,
Co,200
Ni,163
Cu,140
Zn,139
Ga,187
Ge,211
As,185
Se,190
Br,185
Kr,202
Rb,303
Sr,249
Y,240
Zr,186
Nb,215
Mo,209
Tc,205
Ru,205
Rh,200
Pd,163
Ag,172
Cd,158
In,193
Sn,217
Sb,206
Te,206
I,198
Xe,216
Cs,343
Ba,268
Hf,225
Ta,220
W,210
Re,205
Os,200
Ir,200
Pt,175
Au,166
Hg,155
Tl,196
Pb,202
Bi,207
Po,197
At,202
Rn,220
Fr,348
Ra,283
La,250
Ce,248
Pr,247
Nd,229
Pm,243
Sm,242
Eu,240
Gd,238
Tb,237
Dy,235
Ho,233
Er,232
Tm,230
Yb,228
Lu,227
Ac,200
Th,240
Pa,200
U,186
