ID,unit_cell_formula,volume,volume_of_structure,vacant_volume
1,"{'Sc': 1.0, 'F': 3.0}",67.4816404096478,79.26657144027526,-11.784931030627462
2,"{'Cs': 2.0, 'Li': 1.0, 'Y': 1.0, 'I': 6.0}",443.690450755453,558.4081834979613,-114.7177327425083
3,"{'Cs': 1.0, 'K': 2.0, 'Fe': 3.0, 'P': 4.0, 'Cl': 1.0, 'O': 14.0}",395.01732929661796,669.3688590316343,-274.35152973501636
4,"{'Zr': 1.0, 'Ni': 1.0, 'F': 6.0}",133.401191284773,97.97532117908013,35.42587010569288
5,"{'Rb': 2.0, 'Mn': 1.0, 'F': 4.0}",131.542061576251,286.2717494969223,-154.72968792067132
6,"{'Ca': 2.0, 'Si': 4.0, 'Ni': 2.0, 'O': 12.0}",226.931977663834,471.23878075234325,-244.30680308850924
7,"{'O': 12.0, 'Br': 4.0, 'Hg': 4.0}",395.28895020809995,345.00424303480406,50.284707173295885
8,"{'F': 24.0, 'In': 4.0, 'Ba': 6.0}",541.951359986932,923.5686420483655,-381.61728206143357
9,"{'Al': 4.0, 'Cl': 16.0, 'Cd': 2.0}",675.689548073385,496.60889234438633,179.0806557289987
10,"{'F': 12.0, 'Na': 6.0, 'Al': 2.0}",245.15029049847303,505.83739197373995,-260.6871014752669
